SUBURB,PRICE_LAND
Alexander Heights,736.8686381625828
Alfred Cove,1605.3004979493926
Alkimos,1056.8065564412022
Anketell,457.9207920792079
Applecross,2494.1849045338595
Ardross,2150.7583699395823
Armadale,438.83011893304456
Ascot,1969.9775219870735
Ashby,1000.7118639902664
Ashfield,817.9918599334171
Attadale,1792.1358846105975
Atwell,976.4193105006277
Aubin Grove,1084.7733457576815
Aveley,880.6240176540898
Balcatta,1136.974603755449
Baldivis,783.3506726603339
Balga,807.8830313111393
Ballajura,672.0563273800365
Banjup,607.691378893987
Banksia Grove,859.8296657638164
Baskerville,508.89328063241106
Bassendean,1044.2471986831542
Bateman,1180.9423382941693
Bayswater,1131.275028950992
Beaconsfield,1730.961234050481
Beckenham,598.5430291875953
Bedford,1225.9917353645658
Beechboro,552.3518675692397
Beeliar,985.2027524729806
Beldon,706.0001303604495
Belhus,970.2970297029703
Bellevue,537.5967171312767
Belmont,1026.0559530238002
Bennett Springs,916.7824161492459
Bentley,1185.5771517672151
Bertram,742.9362706178683
Bibra Lake,937.3902649841307
Bickley,322.67261206557225
Bicton,1864.4051875928512
Booragoon,1365.1863645076535
Boya,337.64375473426776
Brabham,969.6535903021884
Brentwood,1530.3892020802325
Brigadoon,426.2293284204062
Brookdale,580.4074514769829
Bull Creek,1169.0086079950615
Bullsbrook,530.990390219171
Burns Beach,1640.2554846536625
Burswood,2627.120531607111
Butler,870.0511725557773
Byford,744.9388273853391
Calista,442.48525669840734
Camillo,451.0286511782339
Canning Vale,959.0904854907584
Cannington,1169.5531172461453
Cardup,162.01826637082914
Carine,1112.2834313957724
Carlisle,1200.2545817938833
Carmel,399.10075351598573
Carramar,838.503031892472
Caversham,927.7653413790222
Champion Lakes,961.5821304304052
Chidlow,264.6202185910028
Churchlands,2695.8297783927333
City Beach,2120.895698110026
Claremont,2929.723741786286
Clarkson,813.6219463979995
Cloverdale,795.2738678534157
Cockburn Central,1259.349557597279
Como,1751.9145506333705
Connolly,1073.6122108611012
Coogee,1235.3432578520067
Coolbellup,856.0285442183855
Coolbinia,1582.482532323788
Cooloongup,421.23069937972383
Cottesloe,3722.646079826299
Craigie,689.5588412379924
Crawley,3363.20128401988
Currambine,993.4149492977974
Daglish,1854.1118279540644
Dalkeith,2165.563329511552
Darch,1081.5894209508256
Darlington,356.79104848552754
Dayton,1263.078173072053
Dianella,1104.8084707463559
Doubleview,1924.6446125981129
Duncraig,1031.3398130106177
East Cannington,949.2121404910129
East Fremantle,2234.410288693134
East Perth,1292.1983791058585
East Victoria Park,1437.4885685612442
Eden Hill,744.0382095814635
Edgewater,803.7203924102074
Eglinton,1066.7056989327468
Ellenbrook,725.388167718934
Embleton,1051.4531514579792
Ferndale,671.4700955556244
Floreat,1992.6867315796635
Forrestdale,445.30239789857745
Forrestfield,642.1688613675414
Fremantle,2186.290212827396
Gidgegannup,390.8695652173913
Girrawheen,501.02804789747324
Glen Forrest,326.75233904313114
Glendalough,1208.2246266910236
Gnangara,783.125
Golden Bay,633.2546275769016
Gooseberry Hill,502.44129927665875
Gosnells,487.2298285322192
Greenmount,446.1013622589164
Greenwood,753.2819170655492
Guildford,1266.1072103321892
Gwelup,1708.5072372841219
Hamersley,800.7737584126213
Hamilton Hill,869.088378089366
Hammond Park,1042.4615315329004
Harrisdale,1142.5723034396287
Haynes,504.7209971128165
Hazelmere,462.9506516374973
Heathridge,704.5418494649905
Helena Valley,786.2097920664451
Henley Brook,785.8132015872942
Herne Hill,411.558369498791
High Wycombe,681.0326189645838
Highgate,3140.88792353743
Hilbert,825.1856374587005
Hillarys,1538.3660951137028
Hillman,420.2232320287889
Hilton,1017.595305025023
Hocking,889.3975230554795
Hovea,1340.0
Huntingdale,651.1551392073094
Iluka,1422.1732621132596
Inglewood,1901.4981488943288
Innaloo,1753.9633958507025
Jandakot,1137.4130501705831
Jane Brook,768.0374262801887
Jarrahdale,447.1310029133589
Jindalee,1255.4667977104777
Jolimont,2423.197355131156
Joondalup,1028.5147350363395
Joondanna,1524.0069999401817
Kalamunda,514.2573510869877
Kallaroo,1120.356917218962
Karawara,1201.308361909662
Kardinya,1020.2859246735148
Karnup,699.6532005422274
Karragullen,254.06401484001512
Karrinyup,1687.6453496444055
Kelmscott,544.3621515858821
Kensington,1683.5021151051512
Kenwick,656.0915633883131
Kewdale,1130.891105748527
Kiara,752.6017911704
Kingsley,843.8746670889999
Kinross,810.0449195471364
Koondoola,543.3695991122479
Koongamia,436.06174975309625
Kwinana Town Centre,1042.2594143365238
Landsdale,993.9553179063463
Langford,722.8700195744595
Lathlain,1288.964075271363
Leda,576.8443733670829
Leederville,2641.453372401143
Leeming,1008.2043671232175
Lesmurdie,434.21418823241544
Lockridge,674.4390939183166
Lynwood,762.6825660446818
Maddington,609.550841935538
Madeley,1147.9432371936134
Mahogany Creek,346.7308335169177
Maida Vale,727.5931947247136
Manning,1472.0174686102614
Marangaroo,711.3027287395248
Mardella,406.71347203259046
Mariginiup,331.5649382235661
Marmion,1627.4373467019345
Martin,424.9950953024689
Maylands,1660.0673227774348
Medina,396.2727616818068
Melville,1465.9273943778262
Menora,1537.6293663148722
Merriwa,605.9800790551504
Middle Swan,647.8765426246729
Midland,907.7826878620081
Midvale,545.4029225894814
Mindarie,1286.7274425455205
Mirrabooka,674.2422098689287
Morley,847.649329931208
Mosman Park,2672.4887733439964
Mount Claremont,2417.107259862605
Mount Hawthorn,2208.309092102143
Mount Helena,271.7923366223152
Mount Lawley,2213.3359312416387
Mount Nasura,519.188810653831
Mount Pleasant,2266.284493098945
Mount Richon,485.9303771332729
Mullaloo,1034.759973026418
Mundaring,406.78118255992126
Mundijong,339.1316111460414
Murdoch,1174.808259010028
Myaree,1521.1556768790872
Nedlands,2174.690297080901
Nollamara,1036.241955384203
Noranda,833.395607356549
North Beach,2246.840704983239
North Coogee,3088.751149571264
North Fremantle,3416.913931915313
North Lake,930.4957252611358
North Perth,2349.2879637621377
Northbridge,2197.4593188808167
O'Connor,1013.7680841868266
Ocean Reef,1062.5111086540405
Orelia,529.1612200929383
